55.50380	20.28500	25.63869	32.23634	31.30881
 3.69987	11.27353	47.77848	26.51500	41.82538
37.54294	85.82333	47.68848	 1.66739	 0.04211
34.74517	89.58785	49.81702	94.39816	 7.52604
85.41230	67.71257	97.67948	96.02800	15.46034
71.28131	67.15670	80.50198	 3.24985	54.35549
97.65360	17.35660	40.91310	87.03518	65.22700
12.77280	82.01656	86.31477	 7.63771	71.38600
12.74440	 2.07080	15.77118	27.62690	96.56599
27.39910	19.33720	66.70020	97.58760	44.25144
85.18395	75.80011	63.86780	99.13670	10.61134
96.99820	32.02910	 6.24002	36.93862	25.84300
 5.44837	55.04580	69.36830	75.92042	 9.33568
98.88822	50.85141	25.45780	86.19490	45.26500
88.99307	87.78705	 0.60358	11.57250	14.79412
95.77300	82.81920	16.78610	15.40065	90.98200
 6.72300	47.38100	17.04760	16.26493	42.77709
36.18376	79.51245	84.47730	40.18965	26.87900
19.21300	52.36100	60.54600	47.11763	44.72216
50.97445	 1.62264	 1.33257	96.99883	10.34945
 1.85828	37.58931	86.60662	21.46800	25.83222
91.39149	44.56400	 4.63918	25.75024	79.64636
 6.44198	45.72983	22.04400	91.60661	84.04700
94.76194	54.82600	30.83807	36.57400	30.58950
85.38062	98.34971	89.12374	29.98900	17.68741
19.73987	38.63303	88.65513	27.69185	 6.05810
 4.14504	59.77295	47.05700	92.11523	80.33867
52.14170	66.91771	62.21600	22.41847	35.10400
75.23573	42.30093	38.85347	25.66671	80.08585
37.50457	38.75396	28.34000	35.53850	64.54938
46.62250	 5.46391	23.83800	80.57650	31.57940
15.99200	86.01730	82.05400	89.09805	56.24044
54.31470	35.99500	70.80738	88.17319	93.48667
46.97000	58.30846	75.48994	71.28924	66.24670
34.91153	84.25510	73.27160	71.73374	45.83594
44.27569	24.81894	55.08800	 4.86420	77.96663
14.13700	42.61595	64.69440	40.05795	52.71828
22.05986	52.15756	92.92404	36.03379	49.83467
60.64606	78.18473	35.57912	37.09540	27.37808
86.93071	90.95963	79.26310	63.44123	84.76033
22.26894	33.98400	55.76179	20.82667	82.49145
35.71159	48.83312	96.59025	98.55600	74.78080
11.91900	 1.52142	85.39800	42.72086	45.94500
70.96100	66.75300	66.91641	77.85863	57.97799
94.99400	96.28535	21.04700	36.46778	69.21400
10.12230	 2.43613	87.55700	25.31800	10.12400
65.54260	66.54390	48.76262	 6.77562	10.27706
78.19700	53.78174	14.65500	37.18970	68.04590
 5.81130	92.40124	32.98500	12.86990	98.58400
65.08060	87.73757	55.03750	44.20770	12.47698
 8.37014	36.94556	52.65188	 5.49674	12.52861
32.34500	24.81729	46.91850	31.86200	10.09523
 5.62071	58.89030	83.99772	36.96000	57.04872
96.84000	43.88171	74.10140	 8.85529	55.74300
93.32335	71.69958	26.20130	73.29635	89.07218
 5.55021	73.33353	13.55260	47.11581	97.41560
80.50360	69.31700	33.93299	94.17168	 3.47907
 8.50534	66.71360	98.03570	31.54644	89.34768
34.39690	94.28300	59.16777	56.11347	87.67439
37.34540	21.92018	99.66035	12.78416	65.55600
63.73313	30.44600	 6.73404	23.58470	 6.48838
46.10600	31.47813	93.60767	48.85158	65.95510
11.94620	46.33755	40.42710	23.64562	25.84578
51.48740	99.59364	43.70187	67.92300	70.38951
32.36819	39.13819	11.03602	 9.61911	 6.55361
 7.95183	40.42429	66.47504	45.80216	98.37900
16.61838	56.86337	29.50944	32.04827	42.83540
60.63240	68.15347	27.58489	 1.33981	34.82450
52.74109	 1.91216	60.23032	56.85300	20.58933
98.15793	 7.81730	 7.58383	43.81813	38.91879
13.66519	55.72811	17.71459	37.80013	68.57088
56.23130	75.03959	87.53800	 4.86099	94.53929
62.97378	38.16500	47.77700	87.98655	 2.89573
46.98000	69.99791	97.14600	81.76330	13.09700
89.42796	34.28442	55.76800	99.46455	52.29400
64.17871	71.08706	80.44920	75.91841	15.38527
65.36985	97.87115	60.33369	92.68175	87.00946
12.52340	63.58400	 8.17343	30.57860	55.55477
70.34010	13.23600	44.07724	75.15216	24.65760
94.12067	98.45400	66.81140	16.61043	11.76849
36.37579	80.47620	62.11717	43.64971	38.18890
41.43275	35.59795	80.48252	29.34799	81.08240
98.76605	39.77713	14.08625	17.78800	46.70114
19.35651	10.21347	78.74560	 3.69750	22.44412
87.77700	11.31700	90.08759	91.47310	26.61900
25.04580	99.53257	86.28300	29.14650	26.12171
54.05780	66.36026	80.13403	13.28795	55.63500
84.10421	84.25050	42.34532	62.53204	99.19954
16.59085	26.95851	44.67982	51.83510	90.84900
39.25180	64.53406	88.66130	87.44900	98.33930
34.09139	11.04587	39.14030	 8.63935	81.32368
 7.26716	43.63182	64.87300	22.18240	72.14018
73.21483	89.68683	 3.94804	 2.68300	18.47124
48.09620	20.90113	74.25337	26.03065	64.83660
12.91193	95.11617	99.59080	93.66330	41.43353
93.37640	 6.54103	57.57061	12.82381	68.31203
34.52590	86.95267	85.00600	97.14932	63.90164
70.91360	71.60050	49.76000	 5.93926	87.30428
98.41120	86.50000	30.91170	91.15805	36.65120
15.42741	31.69784	50.59485	45.28808	55.61639
